"million env steps","PRETRAIN_FINAL_RUN - _step","PRETRAIN_FINAL_RUN - _step__MIN","PRETRAIN_FINAL_RUN - _step__MAX","PRETRAIN_FINAL_RUN - particle reward unnormalized","PRETRAIN_FINAL_RUN - particle reward unnormalized__MIN","PRETRAIN_FINAL_RUN - particle reward unnormalized__MAX"
"4.345328","287764","287764","287764","0.07397536933422089","0.07397536933422089","0.07397536933422089"
"4.349424","288035","288035","288035","0.08037896454334259","0.08037896454334259","0.08037896454334259"
"4.387824","290578","290578","290578","0.09850776195526123","0.09850776195526123","0.09850776195526123"
"4.390896","290778","290778","290778","0.09104717522859573","0.09104717522859573","0.09104717522859573"
"4.39192","290845","290845","290845","0.10160135477781296","0.10160135477781296","0.10160135477781296"
"4.42008","292707","292707","292707","0.08465570211410522","0.08465570211410522","0.08465570211410522"
"4.427248","293179","293179","293179","0.10811087489128113","0.10811087489128113","0.10811087489128113"
"4.462064","295484","295484","295484","0.10934136062860489","0.10934136062860489","0.10934136062860489"
"4.509168","298605","298605","298605","0.08225236088037491","0.08225236088037491","0.08225236088037491"
"4.543472","300879","300879","300879","0.08795608580112457","0.08795608580112457","0.08795608580112457"
"4.551152","301386","301386","301386","0.09491543471813202","0.09491543471813202","0.09491543471813202"
"4.55832","301862","301862","301862","0.11979619413614273","0.11979619413614273","0.11979619413614273"
"4.573168","302844","302844","302844","0.09264826029539108","0.09264826029539108","0.09264826029539108"
"4.577264","303118","303118","303118","0.08899974822998047","0.08899974822998047","0.08899974822998047"
"4.589552","303930","303930","303930","0.10458207130432129","0.10458207130432129","0.10458207130432129"
"4.613104","305489","305489","305489","0.11016356199979782","0.11016356199979782","0.11016356199979782"
"4.63256","306779","306779","306779","0.12365290522575378","0.12365290522575378","0.12365290522575378"
"4.654064","308204","308204","308204","0.08674383908510208","0.08674383908510208","0.08674383908510208"
"4.691952","310711","310711","310711","0.0774414986371994","0.0774414986371994","0.0774414986371994"
"4.692976","310780","310780","310780","0.09430020302534103","0.09430020302534103","0.09430020302534103"
"4.735984","313627","313627","313627","0.10225137323141098","0.10225137323141098","0.10225137323141098"
"4.782064","316677","316677","316677","0.11063210666179657","0.11063210666179657","0.11063210666179657"
"4.7964","317624","317624","317624","0.07687874138355255","0.07687874138355255","0.07687874138355255"
"4.81944","319146","319146","319146","0.1076480895280838","0.1076480895280838","0.1076480895280838"
"4.821488","319282","319282","319282","0.10097387433052063","0.10097387433052063","0.10097387433052063"
"4.836336","320268","320268","320268","0.09132950752973557","0.09132950752973557","0.09132950752973557"
"4.840944","320573","320573","320573","0.11726482957601547","0.11726482957601547","0.11726482957601547"
"4.844528","320811","320811","320811","0.0951070636510849","0.0951070636510849","0.0951070636510849"
"4.871664","322607","322607","322607","0.08865442126989365","0.08865442126989365","0.08865442126989365"
"4.877808","323016","323016","323016","0.0936320349574089","0.0936320349574089","0.0936320349574089"
"4.986864","330238","330238","330238","0.09277312457561493","0.09277312457561493","0.09277312457561493"
"4.998128","330981","330981","330981","0.11346282809972763","0.11346282809972763","0.11346282809972763"
"5.01912","332367","332367","332367","0.12464123964309692","0.12464123964309692","0.12464123964309692"
"5.020144","332437","332437","332437","0.1011122465133667","0.1011122465133667","0.1011122465133667"
"5.02936","333046","333046","333046","0.12839363515377045","0.12839363515377045","0.12839363515377045"
"5.03704","333553","333553","333553","0.10371944308280945","0.10371944308280945","0.10371944308280945"
"5.057008","334878","334878","334878","0.08726225793361664","0.08726225793361664","0.08726225793361664"
"5.083632","336641","336641","336641","0.11199188232421875","0.11199188232421875","0.11199188232421875"
"5.091824","337184","337184","337184","0.08517206460237503","0.08517206460237503","0.08517206460237503"
"5.092336","337217","337217","337217","0.10323086380958557","0.10323086380958557","0.10323086380958557"
"5.097968","337591","337591","337591","0.09790503233671188","0.09790503233671188","0.09790503233671188"
"5.114864","338707","338707","338707","0.1111932024359703","0.1111932024359703","0.1111932024359703"
"5.136368","340130","340130","340130","0.10113415122032166","0.10113415122032166","0.10113415122032166"
"5.214192","345296","345296","345296","0.08055315166711807","0.08055315166711807","0.08055315166711807"
"5.217776","345531","345531","345531","0.09026952087879181","0.09026952087879181","0.09026952087879181"
"5.241328","347085","347085","347085","0.14129526913166046","0.14129526913166046","0.14129526913166046"
"5.255152","348001","348001","348001","0.12695349752902985","0.12695349752902985","0.12695349752902985"
"5.30328","351184","351184","351184","0.08978405594825745","0.08978405594825745","0.08978405594825745"
"5.310448","351658","351658","351658","0.10980354249477386","0.10980354249477386","0.10980354249477386"
"5.313008","351828","351828","351828","0.10887400060892105","0.10887400060892105","0.10887400060892105"
"5.317104","352102","352102","352102","0.0989069789648056","0.0989069789648056","0.0989069789648056"
"5.337584","353457","353457","353457","0.08839192241430283","0.08839192241430283","0.08839192241430283"
"5.3468","354064","354064","354064","0.09019447863101959","0.09019447863101959","0.09019447863101959"
"5.347312","354098","354098","354098","0.11817648261785507","0.11817648261785507","0.11817648261785507"
"5.350384","354303","354303","354303","0.08236027508974075","0.08236027508974075","0.08236027508974075"
"5.372912","355790","355790","355790","0.10019398480653763","0.10019398480653763","0.10019398480653763"
"5.437424","360070","360070","360070","0.07353731244802475","0.07353731244802475","0.07353731244802475"
"5.470192","362232","362232","362232","0.10119058936834335","0.10119058936834335","0.10119058936834335"
"5.483504","363113","363113","363113","0.0984918549656868","0.0984918549656868","0.0984918549656868"
"5.491696","363651","363651","363651","0.13246648013591766","0.13246648013591766","0.13246648013591766"
"5.534192","366467","366467","366467","0.12018387764692307","0.12018387764692307","0.12018387764692307"
"5.557744","368027","368027","368027","0.105398029088974","0.105398029088974","0.105398029088974"
"5.563376","368399","368399","368399","0.11258755624294281","0.11258755624294281","0.11258755624294281"
"5.602288","370972","370972","370972","0.09825701266527176","0.09825701266527176","0.09825701266527176"
"5.618672","372057","372057","372057","0.08532164990901947","0.08532164990901947","0.08532164990901947"
"5.62072","372193","372193","372193","0.08753400295972824","0.08753400295972824","0.08753400295972824"
"5.633008","373004","373004","373004","0.11404745280742645","0.11404745280742645","0.11404745280742645"
"5.64376","373717","373717","373717","0.09010745584964752","0.09010745584964752","0.09010745584964752"
"5.66424","375079","375079","375079","0.10959385335445404","0.10959385335445404","0.10959385335445404"
"5.66936","375418","375418","375418","0.1008506640791893","0.1008506640791893","0.1008506640791893"
"5.691888","376915","376915","376915","0.07076074182987213","0.07076074182987213","0.07076074182987213"
"5.694448","377082","377082","377082","0.0851001963019371","0.0851001963019371","0.0851001963019371"
"5.718","378641","378641","378641","0.11962997913360596","0.11962997913360596","0.11962997913360596"
"5.72312","378984","378984","378984","0.10384812206029892","0.10384812206029892","0.10384812206029892"
"5.74104","380167","380167","380167","0.09545082598924637","0.09545082598924637","0.09545082598924637"
"5.822448","385567","385567","385567","0.09544259309768677","0.09544259309768677","0.09544259309768677"
"5.87416","389002","389002","389002","0.10533256828784943","0.10533256828784943","0.10533256828784943"
"5.891056","390120","390120","390120","0.13185612857341766","0.13185612857341766","0.13185612857341766"
"5.89208","390186","390186","390186","0.1318676918745041","0.1318676918745041","0.1318676918745041"
"5.894128","390319","390319","390319","0.14536941051483154","0.14536941051483154","0.14536941051483154"
"5.945328","393710","393710","393710","0.1534963846206665","0.1534963846206665","0.1534963846206665"
"5.998576","397228","397228","397228","0.11419989168643951","0.11419989168643951","0.11419989168643951"
"6.074352","402233","402233","402233","0.08634505420923233","0.08634505420923233","0.08634505420923233"
"6.0892","403212","403212","403212","0.12362949550151825","0.12362949550151825","0.12362949550151825"
"6.11224","404741","404741","404741","0.1359013319015503","0.1359013319015503","0.1359013319015503"
"6.124528","405554","405554","405554","0.1267445981502533","0.1267445981502533","0.1267445981502533"
"6.161392","407992","407992","407992","0.11359211057424545","0.11359211057424545","0.11359211057424545"
"6.221296","411954","411954","411954","0.06178112328052521","0.06178112328052521","0.06178112328052521"
"6.23768","413040","413040","413040","0.14644594490528107","0.14644594490528107","0.14644594490528107"
"6.268912","415101","415101","415101","0.10773000866174698","0.10773000866174698","0.10773000866174698"
"6.297072","416960","416960","416960","0.12067804485559464","0.12067804485559464","0.12067804485559464"
"6.334448","419435","419435","419435","0.12473748624324799","0.12473748624324799","0.12473748624324799"
"6.394352","423396","423396","423396","0.12161388248205185","0.12161388248205185","0.12161388248205185"
"6.398448","423666","423666","423666","0.11554601788520813","0.11554601788520813","0.11554601788520813"
"6.42712","425555","425555","425555","0.12146326154470444","0.12146326154470444","0.12146326154470444"
"6.431216","425823","425823","425823","0.12192948162555695","0.12192948162555695","0.12192948162555695"
"6.465008","428061","428061","428061","0.12078390270471573","0.12078390270471573","0.12078390270471573"
"6.486512","429482","429482","429482","0.0879896804690361","0.0879896804690361","0.0879896804690361"
"6.52952","432326","432326","432326","0.105337955057621","0.105337955057621","0.105337955057621"
"6.568432","434898","434898","434898","0.14307886362075806","0.14307886362075806","0.14307886362075806"
"6.570992","435065","435065","435065","0.12850558757781982","0.12850558757781982","0.12850558757781982"
"6.576624","435441","435441","435441","0.11597668379545212","0.11597668379545212","0.11597668379545212"
"6.618096","438182","438182","438182","0.10337557643651962","0.10337557643651962","0.10337557643651962"
"6.654448","440582","440582","440582","0.11476965993642807","0.11476965993642807","0.11476965993642807"
"6.666736","441398","441398","441398","0.10152509808540344","0.10152509808540344","0.10152509808540344"
"6.728176","445460","445460","445460","0.13357992470264435","0.13357992470264435","0.13357992470264435"
"6.76504","447898","447898","447898","0.1465340405702591","0.1465340405702591","0.1465340405702591"
"6.77784","448746","448746","448746","0.0935145691037178","0.0935145691037178","0.0935145691037178"
"6.7932","449759","449759","449759","0.12007954716682434","0.12007954716682434","0.12007954716682434"
"6.835184","452531","452531","452531","0.13426606357097626","0.13426606357097626","0.13426606357097626"
"6.846448","453275","453275","453275","0.11842210590839386","0.11842210590839386","0.11842210590839386"
"6.84952","453477","453477","453477","0.12258962541818619","0.12258962541818619","0.12258962541818619"
"6.854128","453785","453785","453785","0.14212290942668915","0.14212290942668915","0.14212290942668915"
"6.882288","455638","455638","455638","0.12379143387079239","0.12379143387079239","0.12379143387079239"
"6.945264","459803","459803","459803","0.14067736268043518","0.14067736268043518","0.14067736268043518"
"7.002608","463597","463597","463597","0.11677597463130951","0.11677597463130951","0.11677597463130951"
"7.043568","466306","466306","466306","0.12477657198905945","0.12477657198905945","0.12477657198905945"
"7.098352","469925","469925","469925","0.10256548970937729","0.10256548970937729","0.10256548970937729"
"7.163376","474223","474223","474223","0.10869403928518295","0.10869403928518295","0.10869403928518295"
"7.173104","474865","474865","474865","0.11963648349046707","0.11963648349046707","0.11963648349046707"
"7.199728","476625","476625","476625","0.16025589406490326","0.16025589406490326","0.16025589406490326"
"7.216624","477745","477745","477745","0.13318054378032684","0.13318054378032684","0.13318054378032684"
"7.217136","477780","477780","477780","0.12222173064947128","0.12222173064947128","0.12222173064947128"
"7.228912","478561","478561","478561","0.11175315827131271","0.11175315827131271","0.11175315827131271"
"7.232496","478796","478796","478796","0.1548396795988083","0.1548396795988083","0.1548396795988083"
"7.246832","479746","479746","479746","0.11685239523649216","0.11685239523649216","0.11685239523649216"
"7.373296","488104","488104","488104","0.14068520069122314","0.14068520069122314","0.14068520069122314"
"7.375856","488271","488271","488271","0.1334357112646103","0.1334357112646103","0.1334357112646103"
"7.376368","488305","488305","488305","0.11982275545597076","0.11982275545597076","0.11982275545597076"
"7.377392","488372","488372","488372","0.13856342434883118","0.13856342434883118","0.13856342434883118"
"7.399408","489832","489832","489832","0.12294051051139832","0.12294051051139832","0.12294051051139832"
"7.419888","491182","491182","491182","0.13163027167320251","0.13163027167320251","0.13163027167320251"
"7.464432","494126","494126","494126","0.11533256620168686","0.11533256620168686","0.11533256620168686"
